fecha,y_test,demand_DSS,fit_SVM,fit_Decision_Tree,fit_GaussianNB,fit_Logistic_Regression,sarima,fit_KNeighborsClassifier,fit_LinearDiscriminantAnalysis,fit_croston
2019-07-01,1.0,0.679,1.6325881522298313,4.0,7.0,0.0,0.2875182257469806,1.0,0.0,1.8904921048541183
2019-07-02,0.0,0.679,1.2145711019766745,1.0,4.0,0.0,0.7328868438090088,1.0,0.0,1.8904921048541183
2019-07-03,2.0,0.0,1.204553615044254,2.0,7.0,1.0,2.3664434219045045,0.0,1.0,1.8904921048541183
2019-07-04,0.0,0.679,1.7014536863846632,3.0,7.0,0.0,0.6654140163499207,3.0,0.0,1.8904921048541183
2019-07-05,0.0,0.679,2.0370500320636316,3.0,7.0,1.0,1.3664434219045043,3.0,0.0,1.8904921048541183
2019-07-06,0.0,0.0,0.8837151963245895,0.0,7.0,0.0,0.6672929918250396,0.0,0.0,1.8904921048541183
2019-07-08,0.0,0.725,1.554522530415508,1.5,7.0,1.0,0.4621027505885552,1.0,0.0,1.8904921048541183
2019-07-09,2.0,0.747,1.0618209649612111,1.5,5.0,0.0,0.8455357289755553,0.0,0.0,1.8904921048541183
2019-07-10,5.0,0.77,0.16296857538748188,0.0,7.0,1.0,2.4227678644877777,0.0,1.0,1.8904921048541183
2019-07-11,0.0,0.7929999999999999,1.0999914599117249,2.6666666666666665,7.0,0.0,0.9542747503864752,1.0,0.0,1.8904921048541183
2019-07-12,3.0,0.816,1.1000679313386883,1.3333333333333333,7.0,1.0,1.4227678644877777,0.0,1.0,1.8904921048541183
2019-07-13,1.0,0.0,0.10012738574129143,0.0,7.0,0.0,0.5228626248067625,0.0,0.0,1.8904921048541183
2019-07-15,0.0,0.879,1.4766107929131262,3.0,5.0,1.0,0.5599535560409087,1.0,1.0,1.8904921048541183
2019-07-17,0.0,0.924,0.647420698226344,0.0,7.0,1.0,0.5498772256066564,0.0,1.0,1.8904921048541183
2019-07-18,10.0,0.0,1.1781747798707216,0.0,7.0,0.0,2.274938612803328,0.0,0.0,1.8904921048541183
2019-07-19,1.0,0.961,1.1000679313386883,1.3333333333333333,7.0,1.0,1.1630296261535464,0.0,1.0,1.8904921048541183
2019-07-20,0.0,0.0,0.10012738574129143,0.0,7.0,0.0,1.2749386128033282,0.0,0.0,1.8904921048541183
2019-07-22,2.0,1.026,1.554522530415508,1.5,7.0,1.0,0.4184851869232268,1.0,0.0,1.8904921048541183
2019-07-23,12.0,1.048,1.0618209649612111,1.5,5.0,0.0,0.4421347201047491,0.0,0.0,1.8904921048541183
2019-07-24,12.0,1.07,0.16296857538748188,0.0,7.0,1.0,0.7132777042238193,0.0,1.0,1.8904921048541183
2019-07-25,0.0,2.108,1.0999914599117249,2.6666666666666665,7.0,0.0,2.3566388521119097,1.0,0.0,1.8904921048541183
2019-07-26,1.0,1.102,1.1000679313386883,1.3333333333333333,7.0,1.0,0.9368253329430454,0.0,1.0,1.8904921048541183
2019-07-27,0.0,0.134,0.10012738574129143,0.0,7.0,0.0,1.3566388521119097,0.0,0.0,1.8904921048541183
2019-07-29,0.0,1.165,1.9334202455620206,4.0,7.0,0.0,0.5315873335284773,4.0,0.0,1.8904921048541183
2019-07-30,0.0,1.165,1.2145711019766745,1.0,4.0,0.0,0.491316030893214,1.0,0.0,1.8904921048541183
2019-07-31,1.0,1.165,1.204553615044254,2.0,7.0,1.0,0.6931904435636116,0.0,1.0,1.8904921048541183
