,croston_forecast
0,1.8904921048541183
1,1.8904921048541183
2,1.8904921048541183
3,1.8904921048541183
4,1.8904921048541183
5,1.8904921048541183
6,1.8904921048541183
7,1.8904921048541183
8,1.8904921048541183
9,1.8904921048541183
10,1.8904921048541183
11,1.8904921048541183
12,1.8904921048541183
13,1.8904921048541183
14,1.8904921048541183
15,1.8904921048541183
16,1.8904921048541183
17,1.8904921048541183
18,1.8904921048541183
19,1.8904921048541183
20,1.8904921048541183
21,1.8904921048541183
22,1.8904921048541183
23,1.8904921048541183
24,1.8904921048541183
25,1.8904921048541183
26,1.8904921048541183
27,1.8904921048541183
28,1.8904921048541183
29,1.8904921048541183
30,1.8904921048541183
31,1.8904921048541183
32,1.8904921048541183
33,1.8904921048541183
34,1.8904921048541183
35,1.8904921048541183
36,1.8904921048541183
37,1.8904921048541183
38,1.8904921048541183
39,1.8904921048541183
40,1.8904921048541183
41,1.8904921048541183
42,1.8904921048541183
43,1.8904921048541183
44,1.8904921048541183
45,1.8904921048541183
46,1.8904921048541183
47,1.8904921048541183
48,1.8904921048541183
49,1.8904921048541183
50,1.8904921048541183
51,1.8904921048541183
